,group_0,group_1,group_2,group_3,group_4,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,time_in_hours_sin,time_in_hours_cos,0,event
2015-06-23 02:30:00,0.351961872,0.829853372,0.607842852,0.670815474,0.528919784,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,1.058591274,0.714960608,0.562665244,0.303999286,0.331424637,0.638776396,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,1.434172354,1.023974936,0.747137952,0.634842673,0.685901293,0.960991581,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,1.048883028,0.972567768,0.647689879,0.155698608,0.486029317,1.024417244,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,2.100963529,1.322510396,0.989049722,0.637911831,0.549435995,0.849109092,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,1.525758226,0.972572415,0.883536565,0.517787719,0.585068937,0.963740298,0.608761429,0.79335334,1.162666667,49
2015-06-23 02:45:00,0.13569346,0.314894393,0.278143375,0.302336703,0.163630035,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,1.058591274,0.714960608,0.562665244,0.303999286,0.331424637,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,1.434172354,1.023974936,0.747137952,0.634842673,0.685901293,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,1.048883028,0.972567768,0.647689879,0.155698608,0.486029317,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,2.100963529,1.322510396,0.989049722,0.637911831,0.549435995,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,1.525758226,0.972572415,0.883536565,0.517787719,0.585068937,0.659345815,0.751839807,1.260333333,49
2015-06-23 03:00:00,0.154713721,0.22035543,0.072578394,0.123084916,0.062761853,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,1.058591274,0.714960608,0.562665244,0.303999286,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,1.434172354,1.023974936,0.747137952,0.634842673,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,1.048883028,0.972567768,0.647689879,0.155698608,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,2.100963529,1.322510396,0.989049722,0.637911831,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,1.525758226,0.972572415,0.883536565,0.517787719,0.707106781,0.707106781,1.214333333,49
2015-06-23 03:15:00,0.166269537,0.180488899,0.052795372,0.123405793,0.094098039,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,1.058591274,0.714960608,0.562665244,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,1.434172354,1.023974936,0.747137952,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,1.048883028,0.972567768,0.647689879,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,2.100963529,1.322510396,0.989049722,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,1.525758226,0.972572415,0.883536565,0.751839807,0.659345815,1.136333333,49
2015-06-23 03:30:00,0.41036477,0.345107131,0.389673518,0.940863397,0.631839034,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,1.058591274,0.714960608,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,1.434172354,1.023974936,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,1.048883028,0.972567768,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,2.100963529,1.322510396,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,1.525758226,0.972572415,0.79335334,0.608761429,1.069666667,49
2015-06-23 03:45:00,0.210224436,0.327065788,0.152395077,0.259964192,0.698415531,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,1.058591274,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,1.434172354,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,1.048883028,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,2.100963529,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,1.525758226,0.831469612,0.555570233,1.023666667,49
2015-06-23 04:00:00,0.165263081,0.252947996,0.067987153,0.028923226,0.38272231,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,1.383419463,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,2.452006016,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,2.206700558,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,2.775434802,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,2.276999509,0.866025404,0.5,0.978,49
2015-06-23 04:15:00,0.166828763,0.192097923,0.079888279,0.08273908,0.23314897,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,1.799151968,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,2.394639255,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,2.698908273,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,2.946145285,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,2.375191739,0.896872742,0.44228869,0.911666667,49
2015-06-23 04:30:00,0.146214735,0.161680252,0.04254495,0.131045004,0.150417432,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,1.349846684,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,2.11912524,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,2.525139699,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,2.148645434,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,1.90688828,0.923879533,0.382683432,0.847,49
2015-06-23 04:45:00,0.141513218,0.173958009,0.085905033,0.046732723,0.08967071,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,1.692165318,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,2.513925005,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,2.783652744,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,2.595348678,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,2.222439054,0.946930129,0.321439465,0.767,49
2015-06-23 05:00:00,0.118382975,0.180063749,0.079236559,0.020013463,0.050533135,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,1.805911384,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,2.248758151,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,2.624444005,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,2.096649066,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,1.892424464,0.965925826,0.258819045,0.706,49
2015-06-23 05:15:00,0.058128225,0.176480757,0.091593566,0.045548699,0.062567053,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,1.11681543,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,2.172746755,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,1.84330576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,2.09098289,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,1.801002199,0.98078528,0.195090322,0.647666667,49
2015-06-23 05:30:00,0.066045672,0.169698988,0.056238399,0.051165576,0.092806949,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.351961872,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.829853372,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.607842852,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.670815474,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.528919784,0.991444861,0.130526192,0.611,49
2015-06-23 05:45:00,0.10184307,0.167746254,0.034179685,0.022513246,0.039814437,0.10184307,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.13569346,0.167746254,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.314894393,0.034179685,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.278143375,0.022513246,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.302336703,0.039814437,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,0.163630035,0.997858923,0.065403129,0.582333333,49
2015-06-23 06:00:00,0.121772547,0.170819726,0.034964207,0.0,0.052320734,0.121772547,0.10184307,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.154713721,0.170819726,0.167746254,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.22035543,0.034964207,0.034179685,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.072578394,0.0,0.022513246,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.123084916,0.052320734,0.039814437,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.062761853,1.0,6.12e-17,0.559333333,49
2015-06-23 06:15:00,0.091908229,0.177270351,0.04622782,0.0,0.096016388,0.091908229,0.121772547,0.10184307,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.166269537,0.177270351,0.170819726,0.167746254,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.180488899,0.04622782,0.034964207,0.034179685,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.052795372,0.0,0.0,0.022513246,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.123405793,0.096016388,0.052320734,0.039814437,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.094098039,0.997858923,-0.065403129,0.536666667,49
2015-06-23 06:30:00,0.016979621,0.171186657,0.061269845,0.103594528,0.089925929,0.016979621,0.091908229,0.121772547,0.10184307,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.41036477,0.171186657,0.177270351,0.170819726,0.167746254,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.345107131,0.061269845,0.04622782,0.034964207,0.034179685,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.389673518,0.103594528,0.0,0.0,0.022513246,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.940863397,0.089925929,0.096016388,0.052320734,0.039814437,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.631839034,0.991444861,-0.130526192,0.532666667,49
2015-06-23 06:45:00,0.07969054,0.170141205,0.08979442,0.048400007,0.071182024,0.07969054,0.016979621,0.091908229,0.121772547,0.10184307,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.210224436,0.170141205,0.171186657,0.177270351,0.170819726,0.167746254,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.327065788,0.08979442,0.061269845,0.04622782,0.034964207,0.034179685,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.152395077,0.048400007,0.103594528,0.0,0.0,0.022513246,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.259964192,0.071182024,0.089925929,0.096016388,0.052320734,0.039814437,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.698415531,0.98078528,-0.195090322,0.527333333,49
2015-06-23 07:00:00,0.093886442,0.174739648,0.08494948,0.002471708,0.046529358,0.093886442,0.07969054,0.016979621,0.091908229,0.121772547,0.10184307,0.066045672,0.058128225,0.118382975,0.141513218,0.146214735,0.166828763,0.165263081,0.174739648,0.170141205,0.171186657,0.177270351,0.170819726,0.167746254,0.169698988,0.176480757,0.180063749,0.173958009,0.161680252,0.192097923,0.252947996,0.08494948,0.08979442,0.061269845,0.04622782,0.034964207,0.034179685,0.056238399,0.091593566,0.079236559,0.085905033,0.04254495,0.079888279,0.067987153,0.002471708,0.048400007,0.103594528,0.0,0.0,0.022513246,0.051165576,0.045548699,0.020013463,0.046732723,0.131045004,0.08273908,0.028923226,0.046529358,0.071182024,0.089925929,0.096016388,0.052320734,0.039814437,0.092806949,0.062567053,0.050533135,0.08967071,0.150417432,0.23314897,0.38272231,0.965925826,-0.258819045,0.527666667,49
